n_neighbors,weights,p,metric,init_log,accuracy,precision,recall,f1
1,uniform,1,minkowski,False,0.6828799493476245,0.682912254478088,0.6828799493476245,0.682896089414012
1,uniform,2,minkowski,False,0.6828573366800081,0.6829273577867235,0.6828573366800081,0.6828922885648405
1,distance,1,minkowski,False,0.6828799493476245,0.682912254478088,0.6828799493476245,0.682896089414012
1,distance,2,minkowski,False,0.6828573366800081,0.6829273577867235,0.6828573366800081,0.6828922885648405
2,uniform,1,minkowski,False,0.6896185242973114,0.690768545005312,0.6896185242973114,0.6901771444956438
2,uniform,2,minkowski,False,0.6894602356239966,0.6906592802392224,0.6894602356239966,0.6900419807046198
2,distance,1,minkowski,False,0.6896185242973114,0.690768545005312,0.6896185242973114,0.6901771444956438
2,distance,2,minkowski,False,0.6894602356239966,0.6906592802392224,0.6894602356239966,0.6900419807046198
3,uniform,1,minkowski,False,0.7206657169346268,0.716164068022757,0.7206657169346268,0.7180136638724907
3,uniform,2,minkowski,False,0.7209144562784071,0.7163737992708047,0.7209144562784071,0.7182339720284227
3,distance,1,minkowski,False,0.7167989507722226,0.7132114251018746,0.7167989507722226,0.7147705590888669
3,distance,2,minkowski,False,0.7166180494312914,0.7129593949262472,0.7166180494312914,0.7145445206324423
4,uniform,1,minkowski,False,0.7208918436107907,0.7166452871601174,0.7208918436107907,0.7184145307756475
4,uniform,2,minkowski,False,0.7207787802727088,0.7165585176874785,0.7207787802727088,0.7183198537434607
4,distance,1,minkowski,False,0.7174094927978654,0.7140924856367631,0.7174094927978654,0.7155511415472627
4,distance,2,minkowski,False,0.7173416547950162,0.7140280050750142,0.7173416547950162,0.7154855606219465
5,uniform,1,minkowski,False,0.7314293467200326,0.7262173190050806,0.7314293467200326,0.7281822754794575
5,uniform,2,minkowski,False,0.7311353820410194,0.7260989850648605,0.7311353820410194,0.7280270892520867
5,distance,1,minkowski,False,0.72686158786152,0.7232058979822261,0.72686158786152,0.7247595635764726
5,distance,2,minkowski,False,0.7265902358501233,0.7229783654008598,0.7265902358501233,0.7245180529116226
6,uniform,1,minkowski,False,0.7327634941094001,0.7277686365096688,0.7327634941094001,0.7296740236149
6,uniform,2,minkowski,False,0.7322660154218393,0.7273665327685996,0.7322660154218393,0.729253652809912
6,distance,1,minkowski,False,0.7277887072337924,0.7240089942975375,0.7277887072337924,0.7256007548873021
6,distance,2,minkowski,False,0.7274721298871628,0.7236790042375734,0.7274721298871628,0.725276293442337
7,uniform,1,minkowski,False,0.7384392736811162,0.732631164107219,0.7384392736811162,0.7346164495906479
7,uniform,2,minkowski,False,0.7391854917124573,0.7335327580149148,0.7391854917124573,0.735488722756125
7,distance,1,minkowski,False,0.7319494380752097,0.7277898913941092,0.7319494380752097,0.7294822444555652
7,distance,2,minkowski,False,0.7324243040951541,0.7282403304926438,0.7324243040951541,0.7299374383507804
8,uniform,1,minkowski,False,0.7392081043800737,0.7337272535227751,0.7392081043800737,0.7356594481410801
8,uniform,2,minkowski,False,0.7398186464057165,0.7344832730698899,0.7398186464057165,0.7363860473755944
8,distance,1,minkowski,False,0.7329670081179477,0.7290432519558426,0.7329670081179477,0.7306603656312771
8,distance,2,minkowski,False,0.7331479094588789,0.7292731693549028,0.7331479094588789,0.7308744658230828
9,uniform,1,minkowski,False,0.7459240666621442,0.7400768972174533,0.7459240666621442,0.7419424975171607
9,uniform,2,minkowski,False,0.7462406440087738,0.7406688793791304,0.7462406440087738,0.7425126437726761
9,distance,1,minkowski,False,0.7375573796440766,0.7336196490470775,0.7375573796440766,0.7352201703863522
9,distance,2,minkowski,False,0.737693055649775,0.7337799916527589,0.737693055649775,0.735372676267698
10,uniform,1,minkowski,False,0.7437532505709699,0.738002095246341,0.7437532505709699,0.7398998331768187
10,uniform,2,minkowski,False,0.7437532505709699,0.7382214511105338,0.7437532505709699,0.7400992047214703
10,distance,1,minkowski,False,0.7361101689166271,0.7322412823632595,0.7361101689166271,0.7338280674561349
10,distance,2,minkowski,False,0.7365624222689551,0.7326945389357625,0.7365624222689551,0.7342790201259325
